Effective Date,Change % points,Cash rate target%
3 Feb 2010,0.00,3.75
3 Mar 2010,+0.25,4.00
7 Apr 2010,+0.25,4.25
5 May 2010,+0.25,4.50
2 Jun 2010,0.00,4.50
7 Jul 2010,0.00,4.50
4 Aug 2010,0.00,4.50
8 Sep 2010,0.00,4.50
6 Oct 2010,0.00,4.50
3 Nov 2010,+0.25,4.75
8 Dec 2010,0.00,4.75
2 Feb 2011,0.00,4.75
2 Mar 2011,0.00,4.75
6 Apr 2011,0.00,4.75
4 May 2011,0.00,4.75
8 Jun 2011,0.00,4.75
6 Jul 2011,0.00,4.75
3 Aug 2011,0.00,4.75
7 Sep 2011,0.00,4.75
5 Oct 2011,0.00,4.75
2 Nov 2011,-0.25,4.50
7 Dec 2011,-0.25,4.25
8 Feb 2012,0.00,4.25
7 Mar 2012,0.00,4.25
4 Apr 2012,0.00,4.25
2 May 2012,-0.50,3.75
6 Jun 2012,-0.25,3.50
4 Jul 2012,0.00,3.50
8 Aug 2012,0.00,3.50
5 Sep 2012,0.00,3.50
3 Oct 2012,-0.25,3.25
7 Nov 2012,0.00,3.25
5 Dec 2012,-0.25,3.00
6 Feb 2013,0.00,3.00
6 Mar 2013,0.00,3.00
3 Apr 2013,0.00,3.00
8 May 2013,-0.25,2.75
5 Jun 2013,0.00,2.75
3 Jul 2013,0.00,2.75
7 Aug 2013,-0.25,2.50
4 Sep 2013,0.00,2.50
2 Oct 2013,0.00,2.50
6 Nov 2013,0.00,2.50
4 Dec 2013,0.00,2.50
5 Feb 2014,0.00,2.50
5 Mar 2014,0.00,2.50
2 Apr 2014,0.00,2.50
7 May 2014,0.00,2.50
4 Jun 2014,0.00,2.50
2 Jul 2014,0.00,2.50
6 Aug 2014,0.00,2.50
3 Sep 2014,0.00,2.50
8 Oct 2014,0.00,2.50
5 Nov 2014,0.00,2.50
3 Dec 2014,0.00,2.50
4 Feb 2015,-0.25,2.25
4 Mar 2015,0.00,2.25
8 Apr 2015,0.00,2.25
6 May 2015,-0.25,2.00
3 Jun 2015,0.00,2.00
8 Jul 2015,0.00,2.00
5 Aug 2015,0.00,2.00
2 Sep 2015,0.00,2.00
7 Oct 2015,0.00,2.00
4 Nov 2015,0.00,2.00
2 Dec 2015,0.00,2.00
3 Feb 2016,0.00,2.00
2 Mar 2016,0.00,2.00
6 Apr 2016,0.00,2.00
4 May 2016,-0.25,1.75
8 Jun 2016,0.00,1.75
6 Jul 2016,0.00,1.75
3 Aug 2016,-0.25,1.50
7 Sep 2016,0.00,1.50
5 Oct 2016,0.00,1.50
2 Nov 2016,0.00,1.50
7 Dec 2016,0.00,1.50
8 Feb 2017,0.00,1.50
8 Mar 2017,0.00,1.50
5 Apr 2017,0.00,1.50
3 May 2017,0.00,1.50
7 Jun 2017,0.00,1.50
5 Jul 2017,0.00,1.50
